Date,Matchup,Away,Home,Line,Open_Over,Best Odds_Over,Consensus_Over,bet365_Over,DraftKings_Over,BetMGM_Over,FanDuel_Over,theScore Bet_Over,BetRivers_Over,SugarHouse_Over,PartyCasino_Over,Fliff_Over,Caesars_Over,PointsBet_Over,Hard Rock Bet_Over,ESPNBet_Over,Fanatics_Over,Open_Under,Best Odds_Under,Consensus_Under,bet365_Under,DraftKings_Under,BetMGM_Under,FanDuel_Under,theScore Bet_Under,BetRivers_Under,SugarHouse_Under,PartyCasino_Under,Fliff_Under,Caesars_Under,PointsBet_Under,Hard Rock Bet_Under,ESPNBet_Under,Fanatics_Under
2024-04-07,TB at COL,TB,COL,0.5,+140,-139,-132,,+150,-140,-132,,-139,-139,-140,,,,,,,-190,-205,+104,,-205,+110,+104,,+112,+112,+110,,,,,,
2024-04-07,SD at SF,SD,SF,0.5,+102,-105,-104,,+295,-105,-104,,-107,-107,-105,,-110,,,,,-130,-450,-122,,-450,-120,-122,,-117,-117,-120,,-120,,,,
2024-04-07,BOS at LAA,BOS,LAA,0.5,+225,-105,-104,,+215,-105,-104,,-108,-108,-105,,-120,,,,,-320,-310,-122,,-310,-120,-122,,-115,-115,-120,,-110,,,,
2024-04-07,HOU at TEX,HOU,TEX,0.5,+170,-150,-140,,+180,-150,-140,,-155,-155,-150,,-145,,,,,-235,-250,+110,,-250,+115,+110,,+123,+123,+115,,+115,,,,
2024-04-08,CWS at CLE,CWS,CLE,0.5,+102,+100,+100,,+235,+100,-104,,-110,-110,+100,,-110,,,,,-127,-340,-125,,-340,-125,-122,,-113,-113,-125,,-120,,,,
2024-04-08,MIA at NYY,MIA,NYY,0.5,+225,+100,+100,,+245,+100,+100,,-104,-104,+100,,-105,,,,,-320,-350,-128,,-350,-125,-128,,-122,-122,-125,,-125,,,,
2024-04-08,DET at PIT,DET,PIT,0.5,+205,+110,+114,,+280,+110,+114,,+102,+102,+110,,-105,,,,,-290,-425,-146,,-425,-145,-146,,-125,-125,-145,,-125,,,,
2024-04-08,MIL at CIN,MIL,CIN,0.5,+200,-120,-120,,+200,-120,-132,,-120,-120,-120,,-120,,,,,-275,-280,-110,,-280,-110,+104,,-104,-104,-110,,-110,,,,
2024-04-08,SEA at TOR,SEA,TOR,0.5,+245,+104,+105,,+275,+100,-102,,+104,+104,+100,,+105,,,,,-350,-400,-135,,-400,-130,-125,,-129,-129,-130,,-135,,,,
2024-04-08,NYM at ATL,NYM,ATL,0.5,+180,-137,-130,,+170,-140,-146,,-137,-137,-140,,-130,,,,,-245,-230,+100,,-230,+110,+114,,+112,+112,+110,,+100,,,,
2024-04-08,LAD at MIN,LAD,MIN,0.5,+215,-115,-115,,+220,-115,-115,,-122,-122,-120,,-115,,,,,-300,-310,-115,,-310,-110,-111,,+100,+100,-110,,-115,,,,
2024-04-08,PHI at STL,PHI,STL,0.5,+190,-120,-120,,+245,-120,-125,,-124,-124,-120,,-120,,,,,-265,-360,-110,,-360,-110,-102,,+100,+100,-110,,-110,,,,
2024-04-08,HOU at TEX,HOU,TEX,0.5,+195,-125,-125,,+220,-125,-136,,-150,-150,-125,,-135,,,,,-270,-320,+100,,-320,+100,+106,,+117,+117,+100,,+105,,,,
2024-04-08,ARI at COL,ARI,COL,0.5,+165,-134,-134,,+180,-135,-148,,-134,-134,-135,,-140,,,,,-230,-245,+105,,-245,+105,+116,,+108,+108,+105,,+110,,,,
2024-04-08,TB at LAA,TB,LAA,0.5,+245,-105,-105,,+230,-105,-106,,-112,-112,-105,,-110,,,,,-350,-330,-120,,-330,-120,-120,,-112,-112,-120,,-120,,,,
2024-04-08,CHC at SD,CHC,SD,0.5,+240,+100,+100,,+250,-105,-102,,+100,+100,-105,,-110,,,,,-340,-360,-125,,-360,-120,-125,,-122,-122,-120,,-120,,,,
2024-04-08,WSH at SF,WSH,SF,0.5,+240,+112,+112,,+255,+105,+100,,+112,+112,+105,,-105,,,,,-340,-370,-141,,-370,-135,-128,,-141,-141,-135,,-125,,,,
